ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
Baseline_AlexNet_ObjectBased.pth,N,16,4,163,56.000496,0,Background
Baseline_AlexNet_ObjectBased.pth,N,17,4,163,63.88255,0,Background
Baseline_AlexNet_ObjectBased.pth,N,18,4,77,74.90726,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,19,4,77,86.43039,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,20,4,77,79.23834,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,21,4,77,88.02846,0,Eyes
SE-Conv-L1_FaceBased_R16.pth,E,1,16,180,86.54968,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,2,16,163,80.36456,215,Background
SE-Conv-L1_FaceBased_R16.pth,E,3,16,180,84.843994,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,4,16,180,77.88112,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,5,16,180,82.309845,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,6,16,180,84.487785,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,7,16,180,73.65068,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,8,16,180,70.019394,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,9,16,180,74.13562,26,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,10,16,180,72.71836,26,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,11,16,180,62.27982,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,12,16,164,75.48161,215,Background
SE-Conv-L1_FaceBased_R16.pth,E,13,16,164,82.4341,26,Background
SE-Conv-L1_FaceBased_R16.pth,E,14,16,180,86.31984,26,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,15,16,180,90.30136,26,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,16,16,163,91.78882,215,Background
SE-Conv-L1_FaceBased_R16.pth,E,17,16,164,109.46852,215,Background
SE-Conv-L1_FaceBased_R16.pth,E,18,16,180,110.15757,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,E,19,16,164,102.4072,78,Background
SE-Conv-L1_FaceBased_R16.pth,E,20,16,164,90.60756,219,Background
SE-Conv-L1_FaceBased_R16.pth,E,21,16,163,107.59525,215,Background
SE-Conv-L1_FaceBased_R16.pth,Full,1,16,180,81.192184,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,2,16,77,85.71875,215,Eyes
SE-Conv-L1_FaceBased_R16.pth,Full,3,16,180,80.12305,112,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,4,16,180,98.05863,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,5,16,180,94.89242,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,6,16,180,90.36129,221,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,7,16,180,84.21593,111,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,8,16,180,82.40143,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,9,16,180,87.844185,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,10,16,180,85.343094,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,11,16,164,87.98147,111,Background
SE-Conv-L1_FaceBased_R16.pth,Full,12,16,180,94.48729,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,13,16,180,98.67784,216,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,14,16,180,98.745445,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,15,16,180,100.34564,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,16,16,180,105.75687,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,17,16,180,103.45415,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,18,16,180,115.97957,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,19,16,180,92.97706,215,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,20,16,180,59.381294,0,Mouth
SE-Conv-L1_FaceBased_R16.pth,Full,21,16,180,59.910812,112,Mouth
SE-Conv-L1_FaceBased_R16.pth,M,1,16,43,50.83428,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,2,16,43,60.47894,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,3,16,60,72.96612,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,4,16,60,82.753494,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,5,16,60,89.898346,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,6,16,60,76.226265,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,7,16,60,75.83629,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,8,16,60,60.984806,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,9,16,59,52.058273,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,10,16,59,65.713646,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,11,16,59,59.042416,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,12,16,43,40.252293,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,13,16,60,61.787563,0,Background
SE-Conv-L1_FaceBased_R16.pth,M,14,16,60,53.117203,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,15,16,59,49.444458,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,16,16,43,55.30139,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,17,16,59,64.19928,198,Background
SE-Conv-L1_FaceBased_R16.pth,M,18,16,60,78.098335,215,Background
SE-Conv-L1_FaceBased_R16.pth,M,19,16,77,84.93269,215,Eyes
SE-Conv-L1_FaceBased_R16.pth,M,20,16,60,72.61828,215,Background
SE-Conv-L1_FaceBased_R16.pth,M,21,16,77,69.86093,215,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,1,16,60,88.31919,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,2,16,60,55.865234,146,Background
SE-Conv-L1_FaceBased_R16.pth,N,3,16,60,64.20065,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,4,16,43,86.78967,146,Background
SE-Conv-L1_FaceBased_R16.pth,N,5,16,60,78.31987,198,Background
SE-Conv-L1_FaceBased_R16.pth,N,6,16,60,85.92933,198,Background
SE-Conv-L1_FaceBased_R16.pth,N,7,16,59,96.343124,163,Background
SE-Conv-L1_FaceBased_R16.pth,N,8,16,43,95.78412,163,Background
SE-Conv-L1_FaceBased_R16.pth,N,9,16,43,70.23632,146,Background
SE-Conv-L1_FaceBased_R16.pth,N,10,16,60,62.064293,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,11,16,60,64.76865,215,Background
SE-Conv-L1_FaceBased_R16.pth,N,12,16,94,79.770355,215,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,13,16,94,100.02078,146,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,14,16,95,108.35734,163,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,15,16,94,81.10463,215,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,16,16,94,46.65698,198,Eyes
SE-Conv-L1_FaceBased_R16.pth,N,17,16,43,20.450705,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,18,16,43,48.169224,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,19,16,43,55.75451,0,Background
SE-Conv-L1_FaceBased_R16.pth,N,20,16,43,56.37921,146,Background
SE-Conv-L1_FaceBased_R16.pth,N,21,16,43,36.80825,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,1,2,215,17.424381,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,2,2,215,62.55377,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,3,2,60,87.66366,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,4,2,60,61.298023,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,5,2,215,91.79066,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,6,2,215,69.04136,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,7,2,215,80.95025,26,Background
SE-Conv-L1_FaceBased_R2.pth,E,8,2,215,76.692764,26,Background
SE-Conv-L1_FaceBased_R2.pth,E,9,2,215,28.68719,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,10,2,215,38.586514,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,11,2,215,41.00935,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,12,2,215,58.268417,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,13,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,14,2,215,39.095673,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,15,2,60,19.339931,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,16,2,60,47.122383,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,17,2,163,17.493639,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,18,2,163,17.424381,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,19,2,163,17.424381,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,20,2,163,17.424381,0,Background
SE-Conv-L1_FaceBased_R2.pth,E,21,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,1,2,0,17.742523,26,Background
SE-Conv-L1_FaceBased_R2.pth,Full,2,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,3,2,0,0,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,4,2,60,17.424377,0,Background
SE-Conv-L1_FaceBased_R2.pth,Full,5,2,0,0,0,Background
