ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,16,0.279068887,0.100657903,0.084113494
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,17,0.27157256,0.104472294,0.100871593
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,18,0.191637114,0.068435833,0.156508774
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,19,0.295277417,0.077190831,0.096159562
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,20,0.323640227,0.061109621,0.08350268
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,21,0.378205955,0.056439653,0.071047015
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,1,0.266835093,0.001323338,0.037412841
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,2,0.074250065,0.019441813,0.207038283
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,3,0.099234834,0.030140722,0.245316863
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,4,0.122414231,0.026691802,0.315031171
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,5,0.369799167,0.000289633,0.087964013
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,6,0.421906114,0.001048483,0.142605886
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,7,0.289698213,0,0.185819432
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,8,0.234247148,0.000273339,0.161699191
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,9,0.2405013,0.00026231,0.146426156
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,10,0.294634789,1.31E-05,0.049269367
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,11,0.284441024,0.001289513,0.033145536
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,12,0.315609097,1.31E-05,0.012358835
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,13,0.288847148,0.000522808,0.110905431
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,14,0.301872164,0.00053681,0.006200179
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,15,0.243359506,0.002496514,0.074364513
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,16,0.266736627,0.001040684,0.04942324
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,17,0.229800433,0.001664778,0.196543887
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,18,0.203283936,0.000758916,0.163941517
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,19,0.209331676,0.002203627,0.156058729
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,20,0.171294764,0.003088536,0.090706177
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,N,21,0.200510859,0.00510413,0.117132984
SE-Conv-L1_FaceBased_R4.pth,AlexNet,1,FaceBased,4,E,1,0.096419238,0.354366809,0.061582908
