ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,4,N,20,0.026055,0.026641,0.005814,0.012127,0.051304,0.039989,0.008726,0.018203,0.040355,0.044117,0.009627,0.020082,0.561385,0.254003,0.055428,0.115621
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,8,E,21,0.139789,0.036705,0.008010,0.016708,0.081155,0.076376,0.016667,0.034766,0.034966,0.042220,0.009213,0.019218,0.748946,0.197684,0.043138,0.089985
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,8,Full,21,0.216567,0.169867,0.037068,0.077322,0.042744,0.043837,0.009566,0.019955,0.054071,0.050497,0.011019,0.022986,0.848808,0.157434,0.034355,0.071663
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,8,M,21,0.498806,0.196721,0.042928,0.089546,0.015209,0.014479,0.003159,0.006591,0.010729,0.026894,0.005869,0.012242,0.970473,0.028615,0.006244,0.013025
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,8,N,21,0.144247,0.111983,0.024437,0.050974,0.056851,0.050683,0.011060,0.023071,0.026339,0.036027,0.007862,0.016399,0.694750,0.280689,0.061251,0.127768
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,16,E,20,0.039396,0.046549,0.010158,0.021189,0.211967,0.221783,0.048397,0.100954,0.109984,0.128311,0.028000,0.058406,0.529345,0.368384,0.080388,0.167687
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,16,Full,21,0.063696,0.097810,0.021344,0.044522,0.053796,0.100761,0.021988,0.045866,0.058206,0.064863,0.014154,0.029525,0.835495,0.215318,0.046986,0.098012
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,16,M,21,0.053187,0.042222,0.009214,0.019219,0.029688,0.020665,0.004510,0.009407,0.092851,0.032338,0.007057,0.014720,0.851800,0.086656,0.018910,0.039445
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,16,N,21,0.164473,0.071881,0.015686,0.032720,0.062680,0.031700,0.006918,0.014430,0.131780,0.086617,0.018901,0.039428,0.815341,0.101758,0.022205,0.046319
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,32,E,14,0.045098,0.086160,0.018802,0.039220,0.196460,0.219567,0.047914,0.099946,0.001313,0.004273,0.000932,0.001945,0.201081,0.254547,0.055547,0.115869
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,32,Full,19,0.200646,0.260500,0.056846,0.118578,0.272020,0.327276,0.071417,0.148974,0.003543,0.009602,0.002095,0.004371,0.524912,0.440902,0.096213,0.200696
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,32,M,15,0.342710,0.262291,0.057237,0.119394,0.000290,0.001022,0.000223,0.000465,0.004974,0.017244,0.003763,0.007849,0.998972,0.003067,0.000669,0.001396
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,32,N,17,0.114425,0.137045,0.029906,0.062382,0.137833,0.131700,0.028739,0.059949,0.032312,0.030093,0.006567,0.013698,0.500691,0.326313,0.071207,0.148536
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,2,E,21,0.012446,0.026642,0.005814,0.012127,0.279711,0.160137,0.034945,0.072893,0.103263,0.036054,0.007868,0.016412,0.334425,0.142520,0.031100,0.064874
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,2,Full,21,0.061797,0.056386,0.012305,0.025667,0.184653,0.102653,0.022401,0.046727,0.139446,0.067555,0.014742,0.030751,0.545126,0.154575,0.033731,0.070362
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,2,M,21,0.104351,0.052657,0.011491,0.023969,0.075317,0.047097,0.010277,0.021438,0.307814,0.212579,0.046389,0.096765,0.787518,0.156594,0.034172,0.071281
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,2,N,21,0.024522,0.029349,0.006405,0.013360,0.191478,0.125920,0.027478,0.057318,0.190265,0.095868,0.020920,0.043639,0.552344,0.242208,0.052854,0.110252
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,4,E,20,0.000902,0.001941,0.000424,0.000884,0.005123,0.010783,0.002353,0.004908,0.019536,0.032633,0.007121,0.014854,0.795146,0.355453,0.077566,0.161800
SE-Conv-L2_ObjectBased,SE-Conv,ObjectBased,L2,4,Full,21,0.053490,0.088540,0.019321,0.040303,0.072143,0.074500,0.016257,0.033912,0.134238,0.043964,0.009594,0.020012,0.770988,0.122568,0.026746,0.055792
